Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1926,321.5,QLD,Gold,0.354512569,5.62108E-05
1948,323.1,TAS,Iron Ore,,3.54619E-07
1970,325.0,NSW,Gold,0.358324146,5.68152E-05
1918,327.5,TAS,Gold,0.361027453,5.72438E-05
1969,328.5,NSW,Gold,0.362227563,5.74341E-05
1964,328.7,NSW,Gold,0.362399008,5.74613E-05
1876,328.9,TAS,Gold,0.36263903,5.74993E-05
1967,333.3,NSW,Gold,0.367439471,5.82605E-05
1905,335.7,SA,Gold,0.370148291,5.869E-05
1967,342.0,VIC,Gold,0.377040353,5.97828E-05
1947,342.6,NT,Gold,0.37772613,5.98915E-05
1968,344.2,VIC,Gold,0.37954344,6.01796E-05
1889,348.9,NT,Gold,0.384652481,6.09897E-05
1962,349.4,NSW,Gold,0.385201103,6.10767E-05
1925,350.5,QLD,Iron Ore,,3.84728E-07
1925,350.5,VIC,Iron Ore,,3.84728E-07
1963,354.4,NSW,Gold,0.39072161,6.1952E-05
1906,359.6,NT,Gold,0.396482139,6.28654E-05
1961,374.3,NSW,Gold,0.412632194,6.54261E-05
1942,375.0,NT,Gold,0.413455127,6.55566E-05
1949,377.9,TAS,Gold,0.41667828,6.60677E-05
1905,378.2,NT,Gold,0.41698688,6.61166E-05
1896,381.4,NSW,Iron Ore,,4.18629E-07
1938,385.0,NT,Gold,0.424427563,6.72964E-05
1930,388.5,NSW,Gold,0.428370783,6.79216E-05
1975,389.0,NSW,Gold,0.428886439,6.80034E-05
1898,398.2,NSW,Iron Ore,,4.37084E-07
1928,399.0,NSW,Gold,0.439960419,6.97592E-05
1947,399.3,TAS,Iron Ore,,4.38255E-07
1948,401.3,TAS,Gold,0.442497795,7.01616E-05
1945,405.9,TAS,Gold,0.44746968,7.09499E-05
1931,408.9,QLD,Gold,0.4507957,7.14773E-05
1897,410.5,SA,Iron Ore,,4.50522E-07
1984,411.0,VIC,Gold,0.453142227,7.18493E-05
1959,412.9,NSW,Gold,0.455184675,7.21732E-05
1928,412.9,QLD,Gold,0.455253252,7.2184E-05
1978,422.0,NSW,Gold,0.465270121,7.37723E-05
1960,423.8,NSW,Gold,0.467288644,7.40923E-05
1928,425.0,QLD,Iron Ore,,4.66477E-07
1977,430.0,NSW,Gold,0.474090408,7.51708E-05
1889,431.0,WA,Gold,0.47524366,7.53537E-05
1901,436.9,QLD,Iron Ore,,4.79516E-07
1901,436.9,VIC,Iron Ore,,4.79516E-07
1902,436.9,VIC,Iron Ore,,4.79516E-07
