Name,State,Latitude,Longitude,Status,Commodity Group,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Mineral Type
Widgie South,WA,-31.5191,121.5875,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Wilco South,SA,-33.2969,136.444,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Wilconi,WA,-26.6000,120.1965,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Wim 100,VIC,-36.9572,141.9258,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Wim 150,VIC,-36.8043,142.3678,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Winchelsea Island,NT,-13.7690,136.508,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Winchester,NSW,-33.3400,142.31,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Winchester,NT,-13.0462,131.0612,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Windabout,SA,-31.3894,137.1333,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Windanya-Blue Dam,WA,-30.3800,121.2538,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Windimurra,WA,-28.2916,118.53,Mine - care and maintenance,Vanadium,,,,,,Base Metals and Alloys
Wingellina,WA,-26.0396,128.9393,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Witchelina,SA,-30.1176,137.9905,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Wodgina,WA,-21.1746,118.6764,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Wolfram Camp,QLD,-17.0845,144.9694,Mine - care and maintenance,Tungsten,,,,,,Base Metals and Alloys
Wonnerup,WA,-33.6481,115.4567,Operating mine,Titanium,,,,,,Base Metals and Alloys
Woodie Woodie,WA,-21.6388,121.2355,Operating mine,Manganese Ore,,,,,,Base Metals and Alloys
Yaamba,QLD,-23.0786,150.301,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Yabbie,NSW,-33.5200,142.5,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Yakabindie ,WA,-27.4555,120.5775,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Yalbra,WA,-25.5611,116.3548,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Yalyalup,WA,-33.6897,115.4723,Operating mine,Titanium,,,,,,Base Metals and Alloys
Yanco Glen,NSW,-31.6566,141.5385,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Yangibana,WA,-23.9061,116.2959,Mine - under development,Rare Earth Elements (REE),,,,,,Other
Yarawindah Brook,WA,-31.0908,116.2609,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Yarrabubba,WA,-27.0244,118.7056,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Yeelirrie,WA,-27.1797,119.9045,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Yendon,VIC,-37.6572,143.98,Mine - care and maintenance,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Yeoval,NSW,-32.7299,148.642,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Yerilla,WA,-29.4849,121.905,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
